snapshot_date,analysis_mode,evidence_mode,subject_area,topic_name,table_name,grain,dimension_key,metric_name,metric_value,raw_evidence_required,source_scope,migration_status,schema_version,metric_version,run_id
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,其他,创建到下发_15分钟达标率,100.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,私信,创建到下发_15分钟达标率,100.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,星途星纪元直播营销中心,创建到下发_15分钟达标率,100.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,星途汽车直播营销中心,创建到下发_15分钟达标率,100.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,私信投放,创建到下发_15分钟达标率,100.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,主页,创建到下发_15分钟达标率,100.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,EXEED星途,创建到下发_15分钟达标率,100.0,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,直播,平均下发到首次跟进_分钟,1929.12,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,其他,平均下发到首次跟进_分钟,552.31,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
2026-03-12,raw-evidence,raw,process_sla,process_sla,sla_channel3,dimension,私信,平均下发到首次跟进_分钟,10514.2,True,raw-input:总部新媒体线索2026-03-13.csv,partially_unified_capable,1.0.0,metric-v1,runtime-check-raw
